photo_a,photo_b,breed_a,breed_b,pile_a,pile_b,dhash_distance,phash_distance,confirmed_copy,exact_copy,same_breed,crosses_piles,pile_pair
n02085782-Japanese_spaniel/n02085782_186.jpg,n02086646-Blenheim_spaniel/n02086646_172.jpg,n02085782-Japanese_spaniel,n02086646-Blenheim_spaniel,val,train,0,0,True,True,False,True,train-val
n02085782-Japanese_spaniel/n02085782_2459.jpg,n02097474-Tibetan_terrier/n02097474_1962.jpg,n02085782-Japanese_spaniel,n02097474-Tibetan_terrier,train,train,0,0,True,False,False,False,train-train
n02085782-Japanese_spaniel/n02085782_313.jpg,n02086646-Blenheim_spaniel/n02086646_280.jpg,n02085782-Japanese_spaniel,n02086646-Blenheim_spaniel,train,train,0,0,True,True,False,False,train-train
n02085782-Japanese_spaniel/n02085782_381.jpg,n02102040-English_springer/n02102040_639.jpg,n02085782-Japanese_spaniel,n02102040-English_springer,train,train,0,0,True,True,False,False,train-train
n02085782-Japanese_spaniel/n02085782_50.jpg,n02086910-papillon/n02086910_103.jpg,n02085782-Japanese_spaniel,n02086910-papillon,train,train,0,0,True,True,False,False,train-train
n02086240-Shih-Tzu/n02086240_3921.jpg,n02097474-Tibetan_terrier/n02097474_7300.jpg,n02086240-Shih-Tzu,n02097474-Tibetan_terrier,train,train,0,0,True,True,False,False,train-train
n02088466-bloodhound/n02088466_7462.jpg,n02090379-redbone/n02090379_3300.jpg,n02088466-bloodhound,n02090379-redbone,val,train,0,0,True,True,False,True,train-val
n02089867-Walker_hound/n02089867_1882.jpg,n02089973-English_foxhound/n02089973_2093.jpg,n02089867-Walker_hound,n02089973-English_foxhound,train,train,0,0,True,False,False,False,train-train
n02089867-Walker_hound/n02089867_2880.jpg,n02089973-English_foxhound/n02089973_3160.jpg,n02089867-Walker_hound,n02089973-English_foxhound,test,train,0,2,True,False,False,True,train-test
n02089867-Walker_hound/n02089867_3840.jpg,n02089973-English_foxhound/n02089973_2211.jpg,n02089867-Walker_hound,n02089973-English_foxhound,val,val,0,0,True,False,False,False,val-val
n02089867-Walker_hound/n02089867_4001.jpg,n02089973-English_foxhound/n02089973_1957.jpg,n02089867-Walker_hound,n02089973-English_foxhound,val,val,0,0,True,False,False,False,val-val
n02091134-whippet/n02091134_16337.jpg,n02105251-briard/n02105251_7647.jpg,n02091134-whippet,n02105251-briard,train,train,0,0,True,True,False,False,train-train
n02093256-Staffordshire_bullterrier/n02093256_4090.jpg,n02093428-American_Staffordshire_terrier/n02093428_5635.jpg,n02093256-Staffordshire_bullterrier,n02093428-American_Staffordshire_terrier,test,val,0,0,True,True,False,True,val-test
n02093256-Staffordshire_bullterrier/n02093256_5988.jpg,n02093428-American_Staffordshire_terrier/n02093428_1378.jpg,n02093256-Staffordshire_bullterrier,n02093428-American_Staffordshire_terrier,val,test,0,0,True,True,False,True,val-test
