photo,pile,breed,copy_in_train,copy_breed,dhash_distance,phash_distance,exact_copy,same_breed
n02089867-Walker_hound/n02089867_24.jpg,test,n02089867-Walker_hound,n02089867-Walker_hound/n02089867_2382.jpg,n02089867-Walker_hound,2,0,False,True
n02089867-Walker_hound/n02089867_2880.jpg,test,n02089867-Walker_hound,n02089973-English_foxhound/n02089973_3160.jpg,n02089973-English_foxhound,0,2,False,False
n02089867-Walker_hound/n02089867_3108.jpg,test,n02089867-Walker_hound,n02089867-Walker_hound/n02089867_3177.jpg,n02089867-Walker_hound,0,0,True,True
n02090379-redbone/n02090379_4667.jpg,test,n02090379-redbone,n02090379-redbone/n02090379_855.jpg,n02090379-redbone,0,0,True,True
n02091635-otterhound/n02091635_873.jpg,test,n02091635-otterhound,n02091635-otterhound/n02091635_4698.jpg,n02091635-otterhound,1,2,False,True
n02092002-Scottish_deerhound/n02092002_2448.jpg,test,n02092002-Scottish_deerhound,n02092002-Scottish_deerhound/n02092002_6503.jpg,n02092002-Scottish_deerhound,0,0,True,True
n02093647-Bedlington_terrier/n02093647_518.jpg,test,n02093647-Bedlington_terrier,n02093647-Bedlington_terrier/n02093647_2585.jpg,n02093647-Bedlington_terrier,0,0,True,True
n02093991-Irish_terrier/n02093991_2923.jpg,test,n02093991-Irish_terrier,n02093991-Irish_terrier/n02093991_4670.jpg,n02093991-Irish_terrier,0,0,True,True
n02095889-Sealyham_terrier/n02095889_2031.jpg,test,n02095889-Sealyham_terrier,n02095889-Sealyham_terrier/n02095889_5011.jpg,n02095889-Sealyham_terrier,0,0,False,True
n02095889-Sealyham_terrier/n02095889_2471.jpg,test,n02095889-Sealyham_terrier,n02095889-Sealyham_terrier/n02095889_2134.jpg,n02095889-Sealyham_terrier,0,0,True,True
n02095889-Sealyham_terrier/n02095889_47.jpg,test,n02095889-Sealyham_terrier,n02095889-Sealyham_terrier/n02095889_1019.jpg,n02095889-Sealyham_terrier,0,0,False,True
n02097130-giant_schnauzer/n02097130_857.jpg,test,n02097130-giant_schnauzer,n02097209-standard_schnauzer/n02097209_585.jpg,n02097209-standard_schnauzer,0,0,True,False
n02097209-standard_schnauzer/n02097209_1170.jpg,test,n02097209-standard_schnauzer,n02097047-miniature_schnauzer/n02097047_2426.jpg,n02097047-miniature_schnauzer,1,0,False,False
n02097209-standard_schnauzer/n02097209_2992.jpg,test,n02097209-standard_schnauzer,n02097209-standard_schnauzer/n02097209_3831.jpg,n02097209-standard_schnauzer,3,6,False,True
n02097474-Tibetan_terrier/n02097474_494.jpg,test,n02097474-Tibetan_terrier,n02097474-Tibetan_terrier/n02097474_6306.jpg,n02097474-Tibetan_terrier,4,10,False,True
n02101556-clumber/n02101556_4994.jpg,test,n02101556-clumber,n02101556-clumber/n02101556_4965.jpg,n02101556-clumber,0,4,False,True
n02102480-Sussex_spaniel/n02102480_101.jpg,test,n02102480-Sussex_spaniel,n02102480-Sussex_spaniel/n02102480_6229.jpg,n02102480-Sussex_spaniel,0,0,False,True
n02102480-Sussex_spaniel/n02102480_5651.jpg,test,n02102480-Sussex_spaniel,n02102480-Sussex_spaniel/n02102480_4373.jpg,n02102480-Sussex_spaniel,4,4,False,True
n02102480-Sussex_spaniel/n02102480_5734.jpg,test,n02102480-Sussex_spaniel,n02102480-Sussex_spaniel/n02102480_5031.jpg,n02102480-Sussex_spaniel,4,2,False,True
n02104365-schipperke/n02104365_9552.jpg,test,n02104365-schipperke,n02105056-groenendael/n02105056_2194.jpg,n02105056-groenendael,0,0,True,False
n02105056-groenendael/n02105056_961.jpg,test,n02105056-groenendael,n02105056-groenendael/n02105056_3499.jpg,n02105056-groenendael,0,0,False,True
n02106030-collie/n02106030_2522.jpg,test,n02106030-collie,n02106166-Border_collie/n02106166_1031.jpg,n02106166-Border_collie,0,0,True,False
n02106550-Rottweiler/n02106550_6074.jpg,test,n02106550-Rottweiler,n02106550-Rottweiler/n02106550_11693.jpg,n02106550-Rottweiler,5,6,False,True
n02107683-Bernese_mountain_dog/n02107683_71.jpg,test,n02107683-Bernese_mountain_dog,n02107908-Appenzeller/n02107908_47.jpg,n02107908-Appenzeller,0,0,True,False
n02108000-EntleBucher/n02108000_3497.jpg,test,n02108000-EntleBucher,n02108000-EntleBucher/n02108000_3113.jpg,n02108000-EntleBucher,4,0,False,True
n02108551-Tibetan_mastiff/n02108551_4421.jpg,test,n02108551-Tibetan_mastiff,n02108551-Tibetan_mastiff/n02108551_728.jpg,n02108551-Tibetan_mastiff,0,0,False,True
n02109961-Eskimo_dog/n02109961_2317.jpg,test,n02109961-Eskimo_dog,n02110185-Siberian_husky/n02110185_1614.jpg,n02110185-Siberian_husky,0,0,True,False
n02109961-Eskimo_dog/n02109961_5924.jpg,test,n02109961-Eskimo_dog,n02110185-Siberian_husky/n02110185_4115.jpg,n02110185-Siberian_husky,0,0,True,False
