label,breed_folder,breed_name,total,train,val,test,train_pct,val_pct,test_pct
0,n02085620-Chihuahua,Chihuahua,152,106,22,24,69.7,14.5,15.8
1,n02085782-Japanese_spaniel,Japanese Spaniel,185,129,27,29,69.7,14.6,15.7
2,n02085936-Maltese_dog,Maltese Dog,252,176,37,39,69.8,14.7,15.5
3,n02086079-Pekinese,Pekinese,149,104,22,23,69.8,14.8,15.4
4,n02086240-Shih-Tzu,Shih-Tzu,214,149,32,33,69.6,15.0,15.4
5,n02086646-Blenheim_spaniel,Blenheim Spaniel,188,131,28,29,69.7,14.9,15.4
6,n02086910-papillon,Papillon,196,137,29,30,69.9,14.8,15.3
7,n02087046-toy_terrier,Toy Terrier,172,120,25,27,69.8,14.5,15.7
8,n02087394-Rhodesian_ridgeback,Rhodesian Ridgeback,172,120,25,27,69.8,14.5,15.7
9,n02088094-Afghan_hound,Afghan Hound,239,167,35,37,69.9,14.6,15.5
10,n02088238-basset,Basset,175,122,26,27,69.7,14.9,15.4
11,n02088364-beagle,Beagle,195,136,29,30,69.7,14.9,15.4
12,n02088466-bloodhound,Bloodhound,187,130,28,29,69.5,15.0,15.5
13,n02088632-bluetick,Bluetick,171,119,25,27,69.6,14.6,15.8
14,n02089078-black-and-tan_coonhound,Black-And-Tan Coonhound,159,111,23,25,69.8,14.5,15.7
15,n02089867-Walker_hound,Walker Hound,153,107,22,24,69.9,14.4,15.7
16,n02089973-English_foxhound,English Foxhound,157,109,23,25,69.4,14.6,15.9
17,n02090379-redbone,Redbone,148,103,22,23,69.6,14.9,15.5
18,n02090622-borzoi,Borzoi,151,105,22,24,69.5,14.6,15.9
19,n02090721-Irish_wolfhound,Irish Wolfhound,218,152,32,34,69.7,14.7,15.6
20,n02091032-Italian_greyhound,Italian Greyhound,182,127,27,28,69.8,14.8,15.4
21,n02091134-whippet,Whippet,187,130,28,29,69.5,15.0,15.5
22,n02091244-Ibizan_hound,Ibizan Hound,188,131,28,29,69.7,14.9,15.4
23,n02091467-Norwegian_elkhound,Norwegian Elkhound,196,137,29,30,69.9,14.8,15.3
24,n02091635-otterhound,Otterhound,151,105,22,24,69.5,14.6,15.9
25,n02091831-Saluki,Saluki,200,140,30,30,70.0,15.0,15.0
26,n02092002-Scottish_deerhound,Scottish Deerhound,232,162,34,36,69.8,14.7,15.5
27,n02092339-Weimaraner,Weimaraner,160,112,24,24,70.0,15.0,15.0
28,n02093256-Staffordshire_bullterrier,Staffordshire Bullterrier,155,108,23,24,69.7,14.8,15.5
29,n02093428-American_Staffordshire_terrier,American Staffordshire Terrier,164,114,24,26,69.5,14.6,15.9
30,n02093647-Bedlington_terrier,Bedlington Terrier,182,127,27,28,69.8,14.8,15.4
31,n02093754-Border_terrier,Border Terrier,172,120,25,27,69.8,14.5,15.7
32,n02093859-Kerry_blue_terrier,Kerry Blue Terrier,179,125,26,28,69.8,14.5,15.6
